,job_title,job_domain,published,deadline,education,skills
279,Intern - Project Management,Project Management & Administration,12 Jan 2025,27 Jan 2025,"['Bachelor/Honors', 'Background in Business Administration, IT, or a related field is a plus (not mandatory).']",[]
280,Full-Stack Developer (PHP & React.js),Software Development,12 Jan 2025,11 Feb 2025,[],"['B2B Marketing', 'E commerce', 'PHP']"
281,Figma UI/UX Designer,Design,12 Jan 2025,11 Feb 2025,"['Bachelor of Fine Arts (B.F.A) in Fine Arts, Bachelor of Computer Application (BCA)']","['Startup', 'UI and UX Design']"
282,Junior Software Developer (Laravel Based),Software Development,12 Jan 2025,31 Jan 2025,[],"['Bootstrap', 'HTML5 & CSS3', 'Laravel', 'PHP MySql', 'ReactJS', 'Web Developer/ Web Designer']"
283,Intern (Unpaid),IT & Networking,12 Jan 2025,11 Feb 2025,['Bachelor/Honors'],[]
284,Flutter Developer,Software Development,13 Jan 2025,13 Jan 2025,[],"['Dart Programming', 'Flutter']"
285,IT Support Engineer,IT & Networking,13 Jan 2025,20 Jan 2025,['Bachelor of Science (BSc)'],[]
286,"Executive, IT Operations",IT & Networking,13 Jan 2025,19 Jan 2025,['B.Sc. / M.Sc. in CSE/ EEE or equivalent from any reputed university.'],[]
287,WordPress Theme Developer,Web Development,13 Jan 2025,31 Jan 2025,[],"['Elementor', 'HTML5 & CSS3', 'JavaScript ES6', 'jQuery', 'PHP (OOP)', 'WordPress']"
288,Shopify Developers,Software Development,13 Jan 2025,13 Jan 2025,[],[]
289,Frontend Developer - Next.js / React.js,Web Development,13 Jan 2025,12 Feb 2025,['Bachelor of Science (BSc)'],"['Figma', 'Front End', 'Front end developer', 'Front End Programming', 'Full Stack Development focusing on Front End technologies', 'next.js', 'Node.js', 'ReactJS', 'Themeforest']"
290,UI/UX Designer (Creative Genius),Design,13 Feb 2025,21 Feb 2025,[],"['UI UX Design', 'UX and UI Designing']"
291,GIS Specialist,Data Analytics,11 Feb 2025,12 Mar 2025,['Possess Degree in Geographical Information System (GIS)/ Geomatic/ Remote Sensing or related discipline.'],[]
292,Solutions Consultant,IT & Networking,11 Feb 2025,12 Mar 2025,"['Bachelor of Science (BSc)', 'Bachelors or masters in IT, CSE, Civil, EEE, GIS/Geography/Resource Management or related fields.']",[]
293,Assistant System Admin (ISP),IT & Networking,16 Feb 2025,12 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Diploma in Computer in Computer Science']","['IP Network', 'ISP', 'ISP operations', 'ISP related work', 'Juniper']"
294,Assistant Project Manager,Project Management & Administration,10 Feb 2025,10 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Information Technology']","['Automated Testing', 'ITIL', 'JavaScript', 'JIRA', 'Python']"
295,Digital Marketing Cum IT Officer,Digital Marketing,10 Feb 2025,20 Feb 2025,"['Diploma, Bachelor/Honors, Masters, Higher Secondary, Diploma in Computer']","['contant writing', 'Digital Marketing', 'Digital Marketing (Social Media Marketing)', 'Facebook Post', 'Graphics Design', 'page modaretor', 'Web Developer/ Web Designer']"
296,DevOps Engineer,Software Development,10 Feb 2025,12 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Information Technology', ""Bachelor's Degree in computer science, IT, or similar experience.""]","['Ansible', 'AWS', 'Bash', 'DevOps Tools', 'Dockers and Kubernetes', 'Powershell', 'Python', 'Terraform']"
297,Senior Full Stack Web Developer (Laravel),Web Development,10 Feb 2025,12 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Masters in Computer Application (MCA)']",[]
298,PHP Developer,Software Development,10 Feb 2025,26 Feb 2025,['Bachelor/Honors'],[]
299,Executive - Information and Communication Technology (Gazipur Factory),IT & Networking,10 Feb 2025,12 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'B. Sc. (Hons.) in Computer Science/Engineering']","['Effective Communication', 'proactiveness', 'Problem Solving Skills', 'team work']"
300,Project Manager,Project Management & Administration,13 Feb 2025,10 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Customer Relationship Management (CRM)', 'Customer Service', 'Customer Support', 'Project Management']"
301,Digital Marketing Executive,Digital Marketing,10 Feb 2025,12 Mar 2025,"['Higher Secondary, Bachelor/Honors']","['Digital Marketing', 'Digital Marketing (Social Media Marketing)', 'Online Marketing']"
302,Oracle EBS Developer,Software Development,10 Feb 2025,23 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Minimum B. Sc. in CSE from any reputed university.']",[]
303,Hardware & Network Support Engineer,IT & Networking,10 Feb 2025,23 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering', 'Minimum B. Sc. in CSE / EEE from any reputed university.']",[]
304,Remote Multimedia Content Creator & AI Specialist,Data Analytics,10 Feb 2025,26 Feb 2025,"['Bachelor/Honors', 'University of Dhaka,North South University,BRAC University,East West University,Bangladesh Army International University of Science & Technology(BAIUST),Comilla students will get preference']","['Adobe Photoshop', 'Artificial intelligence (AI)', 'ChatGPT', 'Digital Marketing (Social Media Marketing)', 'Final Cut Pro', 'Fluent in English Speaking', 'Microsoft PowerPoint', 'Problem Solving', 'Self motivated', 'Video content creating']"
305,Associate Officer - ICT,IT & Networking,10 Feb 2025,20 Feb 2025,['B.Sc. in Computer Science and Engineering / EEE / Diploma will be preferred.'],[]
306,Asst. Manager (IT & Digital Marketing),Digital Marketing,11 Feb 2025,25 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Digital Marketing (Social Media Marketing)', 'IT Support Service']"
307,WordPress Developer (LMS & eCommerce),Web Development,10 Feb 2025,20 Feb 2025,['Bachelor/Honors'],"['Automation', 'Ecommerce Development', 'ecommerce platforms and CMS', 'Elementor', 'Graphic Design', 'Tutor LMS', 'Web Developer/ Web Designer', 'wordpress cms', 'wordpress customization', 'WordPress Developer']"
308,Mobile App Developer,Android Development,11 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['Git and Github', 'Java or Kotlin', 'MySQL and MVC framework', 'Swift (iOS)']"
309,Official (Preferably Officer to PO) at IT Division.,IT & Networking,11 Feb 2025,20 Feb 2025,['Bachelor degree (4 years) in any discipline with 1 year Masters in CSE/ICT or 4 years Bachelor degree in CSE/ICT having no third division/class in the academic background.'],['CCNA (Cisco Certified Network Associate)']
310,Software Engineer,Software Development,11 Feb 2025,12 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['next.js', 'Nuxt.js', 'PHP Laravel', 'react', 'Typescript', 'Vue.js']"
311,Engineer - NMC & Tech Support,IT & Networking,11 Feb 2025,17 Feb 2025,"['Bachelor of Science (BSc)', 'Bachelors in Engineering EEE / ECE / APECE /ETE/ ICE / CSE or Telecommunication.']","['Antivirus and Firewalls', 'Cisco', 'IT system support and maintenance', 'Mikrotik', 'Trouble Shooting']"
312,IT Officer,IT & Networking,11 Feb 2025,25 Feb 2025,"['Diploma', '4 years Diploma in computer science & Engineering from any reputed polytechnic institute.']",['Communication']
313,"Deputy Manager, System Administration",IT & Networking,11 Feb 2025,28 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],[]
314,Senior AI Engineer,Data Analytics,11 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Information Technology']","['Artificial intelligence (AI)', 'Machine Learning']"
315,Full Stack ODOO Developer,Software Development,11 Feb 2025,17 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['DevOps', 'Full stack developer', 'Software']"
316,Executive - ERP & IT (RANCON Motor Bikes Ltd),IT & Networking,11 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science', 'B.Sc. in Computer Science from UGC approved university.', 'CCNA & RHCE certified will have extra advantage.']",['IT Support Service and Network engineering.']
317,IT Security Specialist,IT & Networking,11 Feb 2025,20 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Information Technology', 'Must have at least one of the following certifications: CISSP, CISM, CISA', 'Penetration Testing certifications from TCM Security, INE, or Offensive Security would be an added advantage.']","['IT Audit', 'Risk Assessment', 'SIEM', 'VAPT']"
318,Senior Software Engineer (iOS Developer),Android Development,11 Feb 2025,20 Feb 2025,[],[]
319,"Assistant Officer, Business Development",Digital Marketing,11 Feb 2025,28 Feb 2025,"['Bachelor/Honors, Higher Secondary, Diploma']",[]
320,Team Leader for E-commerce Software Development,Software Development,11 Feb 2025,13 Mar 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],['Project Management/ Co-ordinator']
321,Information Security Advisor,IT & Networking,11 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Cyber Security', 'Fluent in English Speaking', 'Good communication skills', 'Network Security']"
322,Senior Business Intelligence Developer,Data Analytics,11 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Business Development', 'ETL', 'Excellent English Writing and Speaking', 'execellent skill on ms excell', 'Financial analysis and reporting', 'Problem solving and analytical skill', 'Python', 'SQL', 'Strong communication skills', 'Tableau']"
323,Software Engineer (SaaS / Backend),Software Development,12 Feb 2025,10 Mar 2025,"['Bachelor/Honors', 'Tertiary Degree in Computer Science / Engineering (or related)']","['AWS', 'Backend Development', 'C++', 'Computer Science/ Engineering', 'Java', 'Node JS', 'Object Oriented Programming', 'Python', 'Relational database systems: MySQL PostgreSQL Oracle', 'REST API']"
324,Assistant Manager/Senior Executive (IT),IT & Networking,11 Feb 2025,13 Mar 2025,['Minimum bachelor’s degree'],"['IP Network', 'Network Engineering', 'Problem Solving']"
325,Graphics Designer,Design,16 Feb 2025,18 Mar 2025,"['SSC, HSC']",[]
326,Jr. Executive - Business Development,Digital Marketing,11 Feb 2025,21 Feb 2025,['Bachelor/Honors'],['Business Development']
327,Jr. Executive - Digital Marketing,Digital Marketing,11 Feb 2025,13 Mar 2025,"['Bachelor of Science (Pass) in Computer Science & Engineering, Bachelor of Business Administration (BBA) in Marketing']","['Google Ads', 'IT Enabled Service', 'PPC', 'SEM', 'SEO and Digital Marketer', 'Social Media Marketing (SMM)']"
328,Engineer (Design),Design,12 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc)'],"['.Net', 'C#', 'CAD', 'CAD Designing', 'CNC programing', 'Programming', 'SQL', 'XML']"
329,Front End Developer (In-House),Web Development,12 Feb 2025,14 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Cloud Platform', 'DOM and UI', 'Git and Github', 'JavaScript', 'next.js', 'react.js', 'Redux']"
330,Senior Backend Developer,Software Development,12 Feb 2025,14 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Agile methodology', 'AWS', 'Dockers', 'Kafka', 'microservices', 'Python Django', 'RESTful API']"
331,"Executive, MIS",IT & Networking,12 Feb 2025,18 Feb 2025,[],[]
332,Executive/Senior Executive - IT Support & System Maintenance Engineer,IT & Networking,12 Feb 2025,14 Mar 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],"['Hardware & Networking', 'Procurement Process', 'Software Maintenance', 'Strong problem solving skills', 'Tally ERP 9', 'The ability to work under pressure', 'Vendor Managemewnt']"
333,"Database & Application Specialist, IT Operations",IT & Networking,12 Feb 2025,28 Feb 2025,"['Bachelor/Honors', 'Bachelor in CS/CSE/IT or relevant field']","['CentOS', 'Cpanel', 'Linux and windows environments', 'MongoDB', 'MSSQL', 'MySQL database', 'Oracle', 'PHP', 'ubuntu', 'WordPress']"
334,Offer / Sr. Officer (IT & MIS),IT & Networking,13 Feb 2025,15 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Engineering']","['Computer Hardware and Networking', 'Database Administrator (DBA)', 'ERP Softwear', 'ERP: SAP S4 HANA. Operating Systems: MS Windows and Linux. Lang', 'Hardware Engineer', 'Linex', 'SAP']"
335,Offer / Sr. Officer (IT & MIS),IT & Networking,13 Feb 2025,15 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Engineering']","['Computer Hardware and Networking', 'Database Administrator (DBA)', 'ERP: SAP S4 HANA. Operating Systems: MS Windows and Linux. Lang', 'Hardware Engineer', 'Linex', 'SAP']"
336,"Full Stack Software Developer (PHP, Laravel)",Software Development,12 Feb 2025,22 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Computer in Computer Science & Engineering']","['jQuery', 'MySQL database', 'PHP (Laravel)', 'PostgreSQL', 'React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git']"
337,Laravel Developer,Software Development,12 Feb 2025,17 Feb 2025,['Bachelor/Honors'],"['Laravel', 'Laravel Development', 'PHP Laravel', 'Web Developer/ Web Designer', 'Web Development', 'Website Development']"
338,Key Account Executive/Manager-Akij Blue Pill Limited,Digital Marketing,12 Feb 2025,17 Feb 2025,"['Bachelor of Business Administration (BBA) in Marketing, Master of Business Administration (MBA) in Marketing']","['Business Strategy', 'critical thinking skills', 'leadership and negotiation', 'sales and marketing', 'Strong communication skills']"
339,App Developer (Android),Android Development,16 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering.', 'For experienced candidate educational qualification may be relaxed.']","['Android', 'Android application development', 'Android SDK', 'Banking', 'Git and Github', 'Google Play Service', 'Kotlin', 'RESTful API', 'Retrofit']"
340,Assistant Programmer,Software Development,12 Feb 2025,14 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['HTML', 'JavaScript', 'MySQL', 'PHP Laravel', 'SQL']"
341,Engineer - Corporate Support,Testing & Support,13 Feb 2025,19 Feb 2025,"['Bachelor/Honors', 'Bachelor’s degree \xa0in IT, Networking, or a related field.', 'Relevant industry certifications (CCNA, CompTIA Network+, ITIL) are an added advantage.']",[]
342,Executive - IT & HR (Payroll),IT & Networking,12 Feb 2025,14 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Good at Microsoft Word and Microsoft Excel', 'IT Support Service', 'Payroll', 'Payroll Processing']"
343,Hardware Engineer,IT & Networking,12 Feb 2025,22 Feb 2025,['Bachelor of Science (BSc) in Computer Engineering'],"['Computer Hardware Skill', 'Computer Hardware Troubleshooting', 'Computer Technician', 'Repair and Maintenance Skills']"
344,Executive/Sr. Executive (Tender Specialist),IT & Networking,13 Feb 2025,14 Mar 2025,"[""Bachelor's & Master’s degree in Business Administration, Marketing, Computer Engineering, or a related field.""]","['Business Development', 'Communication', 'EGP Tendering Expert', 'Microsoft Office Suite', 'Tender Management', 'Tender Processing']"
345,Solution Architect and Head of Development Team,Software Development,12 Feb 2025,14 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],[]
346,Key Account Executive (OEM & Customer Management)- Akij Blue Pill Limited,Digital Marketing,12 Feb 2025,18 Feb 2025,['Bachelor of Business Administration (BBA) in Marketing'],"['communication skill', 'Interpersonal Skills', 'Problem Solving', 'Travel Flexibility']"
347,Survey Expert,Data Analytics,12 Feb 2025,25 Feb 2025,[],[]
348,Senior Programmer (ASP. Net Developer),Web Development,13 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science', 'Bachelor’s Degree in Computer Science or related fields from a reputed university.', 'Certification in related technologies will be an added advantage.']",[]
349,Senior Lead Technical Manager,IT & Networking,13 Feb 2025,13 Mar 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],"['Documentation', 'Requirement Analysis', 'Software Development']"
350,Senior PHP Developer,Software Development,13 Feb 2025,15 Mar 2025,['Bachelor/Honors'],[]
351,IT Intern,IT & Networking,13 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering']",[]
352,Executive-Flight Operations IT,IT & Networking,13 Feb 2025,28 Feb 2025,"['Bachelor of Science (BSc) in Computer Science and Engineer', 'BSc in Computer Science and Engineering, Software Engineering, Information and Communication\xa0Engineering, Computer Science and Information Technology', 'SSC/Equivalent and HSC/Equivalent; Major in Science.', 'GPA Requirement: SCC/Equivalent and HSC/Equivalent - 4.00 out of 5.00', 'BSc CGPA Requirement - 3.00 out of 4.00']","['C++programing', 'Data Structures', 'Database', 'programing language', 'Python', 'Software Architect', 'SQL', 'Version controlling systems']"
353,Full Stack Developer,Software Development,13 Feb 2025,23 Feb 2025,[],"['API Development', 'Backend Development', 'Cloud Management', 'Cyber Security', 'Database management', 'DevOps', 'Frontend Development (Web)', 'Server Management', 'Testing and debugging', 'Version Control']"
354,Digital Operations Analyst (Web Developer),Web Development,13 Feb 2025,20 Feb 2025,['Bachelor of Science (BSc)'],"['HTML/ DHTML', 'UI/UX strategies']"
355,"Senior Manager, Health Informatics & Technology, BRAC Health Programme (Contractual)",IT & Networking,13 Feb 2025,23 Feb 2025,[],[]
356,Executive - Sales & Marketing,Digital Marketing,13 Feb 2025,23 Feb 2025,[],"['Facebook marketing', 'Graphics Design', 'MS Word/ Excel/ PowerPoint/ OneNote', 'Online Marketing']"
357,Assistant IT Manager,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],"['Vlan', 'VPN']"
358,Software Engineer,Software Development,13 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['JavaScript', 'PHP Laravel', 'PHP MySql', 'PHP Programming', 'ReactJS']"
359,Executive/ Sr. Executive - Digital Marketing,Digital Marketing,16 Feb 2025,12 Mar 2025,[],[]
360,IT Support Technician,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],[]
361,IT Security Support Technician,IT & Networking,13 Feb 2025,12 Mar 2025,['Bachelor/Honors'],['Cyber Security']
362,Engineer/Sr. Engineer - IT,IT & Networking,13 Feb 2025,10 Mar 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor of Science (BSc) in Computer Science & Engineering.']",[]
363,Intern(IT),IT & Networking,13 Feb 2025,28 Feb 2025,['Master of Science (MSc) in Computer Science & Engineering'],['c# scripting']
364,Digital Marketing Expert (SEO & Social Media Marketing),Digital Marketing,13 Feb 2025,23 Feb 2025,"['Bachelor of Business Administration (BBA), Master of Business Administration (MBA)']",[]
365,Google Ad Expert,Digital Marketing,14 Feb 2025,25 Feb 2025,[],[]
366,Backend Engineer (Online Travel Agency),Software Development,14 Feb 2025,24 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bangladesh University of Engineering and Technology,Ahsanullah University of Science and Technology students will get preference']",[]
367,Senior Data & Analytics Engineer,Data Analytics,14 Feb 2025,13 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Artificial intelligence (AI)', 'AWS Service', 'Google Ads', 'Google analytics', 'Machine Learning', 'Power BI', 'Python', 'SQL', 'Tableau']"
368,Assistant System Engineer (Server & Networking),IT & Networking,14 Feb 2025,16 Mar 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science']","['Linux-based Mail Server', 'Router configuration', 'Windows Server']"
369,Senior Executive- Oracle EBS Techno-Functional,Software Development,14 Feb 2025,28 Feb 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science & Engineering, Master of Information & Communication Technology (MICT) in Computer Science & Engineering']",[]
370,Intern - Server Administration & DevOps Support (Freshers Welcome!),IT & Networking,16 Feb 2025,28 Feb 2025,[],[]
371,Frontend Developer,Web Development,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['CSS', 'HTML', 'JavaScript', 'scss', 'Typescript']"
372,R&D Engineer (Network Product),IT & Networking,16 Feb 2025,28 Feb 2025,"['Bachelor in Engineering (BEngg) in Electronics and Telecommunication Engineering, Bachelor in Engineering (BEngg) in Electrical & Electronic Engineering, Bachelor in Engineering (BEngg) in Computer Science & Engineering']",[]
373,R&D Engineer (Computer Product),Software Development,16 Feb 2025,28 Feb 2025,"['Bachelor in Engineering (BEngg) in Electrical & Electronic Engineering, Bachelor in Engineering (BEngg) in Electronics and Telecommunication Engineering, Bachelor in Engineering (BEngg) in Computer Science & Engineering']",[]
374,Software Support Engineer,Software Development,16 Feb 2025,24 Feb 2025,[],"['Customer Service Management', 'MS SQL Server', 'Problem solving capacity']"
375,Web and Communications Engineer,Web Development,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['Adobe illustrator', 'Adobe Photoshop', 'Ecommerce Development', 'HTML5', 'Java', 'JavaScript', 'JSON', 'PHP', 'Woocommerce', 'WordPress']"
376,Management Trainee,Project Management & Administration,16 Feb 2025,2 Mar 2025,"[""Bachelor's/Master's degree in Computer Science & Engineering (CSE), Statistics, Applied Statistics. Mathematics, or a related field.""]",[]
377,Relationship Officer,Digital Marketing,16 Feb 2025,26 Feb 2025,[],[]
378,Flutter Developer,Software Development,16 Feb 2025,23 Feb 2025,['Bachelor in Engineering (BEngg)'],[]
379,Flutter Developer,Software Development,16 Feb 2025,28 Feb 2025,[],[]
380,Jr. Executive/ Executive (Sales & Marketing),Digital Marketing,16 Feb 2025,28 Feb 2025,['Bachelor/Honors'],"['Communication', 'Computer skill', 'Negociation Skill']"
381,Software Engineer / Sr. Software Engineer (ASP.NET),Software Development,16 Feb 2025,18 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['ASP .NET', 'ASP.NET Core', 'ASP.NET MVC', 'Erp software']"
382,IT & Graphic Design Intern,IT & Networking,16 Feb 2025,28 Feb 2025,['Bachelor of Science (BSc) in Computer Engineering'],['Graphics Design']
383,"Lead Advisor, Information Security",IT & Networking,16 Feb 2025,18 Mar 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Cyber Security', 'Cyber Security Management', 'Cyber Threat', 'Good Communication Skill (Bangla and English)', 'Leadership and teamwork']"
384,Database Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology']",[]
385,System Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology, or a related field.']",[]
386,Network & Security Administrator,IT & Networking,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology, or a related field.']",[]
387,DevOps Engineer,Software Development,16 Feb 2025,8 Mar 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology']",[]
388,Enterprise Solution Specialist,IT & Networking,16 Feb 2025,28 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],[]
